time	V(in)	V(out1)	V(out2)
1.173765150597163e-01	8.642578e-01	4.723327e+00	4.973475e+00
1.178647963097163e-01	8.935547e-01	4.723327e+00	4.973475e+00
1.181089369347163e-01	9.033203e-01	4.723327e+00	4.973475e+00
1.185972181847163e-01	9.326172e-01	4.723327e+00	4.973475e+00
1.193296400597163e-01	9.619141e-01	4.723327e+00	4.973475e+00
1.198179213097163e-01	9.912109e-01	4.723327e+00	4.973475e+00
1.203062025597163e-01	1.015625e+00	4.723327e+00	4.973475e+00
1.207944838097163e-01	1.040039e+00	4.723327e+00	4.973475e+00
1.212827650597163e-01	1.059570e+00	4.723327e+00	4.973475e+00
1.217710463097163e-01	1.088867e+00	4.723327e+00	4.973475e+00
1.222593275597163e-01	1.113281e+00	4.723327e+00	4.973475e+00
1.227476088097163e-01	1.137695e+00	4.723327e+00	4.973475e+00
1.232358900597163e-01	1.157227e+00	4.723327e+00	4.973475e+00
1.237241713097163e-01	1.186523e+00	4.723327e+00	4.973475e+00
1.242124525597163e-01	1.210938e+00	4.723327e+00	4.973475e+00
1.247007338097163e-01	1.235352e+00	4.723327e+00	4.973475e+00
1.251890150597162e-01	1.254883e+00	4.723327e+00	4.973475e+00
